,LHipAngleZ,LKneeAngleZ,LAnkleAngleZ,RHipAngleZ,RKneeAngleZ,RAnkleAngleZ
0,23.0961,17.9239,8.351,23.91,13.4846,3.00745
1,22.2636,17.3272,8.08287,22.9928,12.961,2.69031
2,21.3248,16.4947,7.07787,21.8572,11.9719,1.45155
3,20.6074,16.0332,6.13521,20.6358,10.8269,-0.000182
4,20.4375,16.4957,5.9276,19.6509,10.2643,-0.718229
5,20.6435,17.4557,6.16055,19.0886,10.3963,-0.651701
6,20.696,18.0932,6.38418,18.7525,10.7271,-0.277093
7,20.2117,17.9993,6.47001,18.2823,10.7841,0.0655793
8,19.1975,17.278,6.48879,17.4707,10.4221,0.318555
9,17.9461,16.3067,6.54383,16.3602,9.74837,0.522861
10,16.7553,15.4325,6.69657,15.1535,8.99986,0.734891
11,15.7644,14.8063,6.95801,14.0471,8.38179,1.00232
12,14.948,14.3554,7.28248,13.0831,7.89958,1.32701
13,14.157,13.8295,7.57319,12.1642,7.41534,1.67775
14,13.2285,13.0087,7.76061,11.1832,6.81556,2.02702
15,12.0816,11.8539,7.83793,10.1124,6.08902,2.3556
16,10.7534,10.4868,7.84763,8.97942,5.29471,2.66173
17,9.37664,9.10781,7.83431,7.83672,4.49581,2.94675
18,8.07409,7.85183,7.81755,6.70863,3.7023,3.19893
19,6.87506,6.71627,7.79264,5.58112,2.88467,3.40725
20,5.71793,5.61353,7.74855,4.42647,2.00507,3.56503
21,4.53186,4.48351,7.69903,3.24732,1.07955,3.68536
22,3.31323,3.36719,7.67033,2.0666,0.161015,3.79262
23,2.1196,2.35863,7.682,0.923275,-0.70559,3.89912
24,1.01581,1.51671,7.7343,-0.137402,-1.48161,4.0172
25,0.0519321,0.855364,7.82797,-1.0742,-2.13119,4.16152
26,-0.748132,0.363126,7.94395,-1.85961,-2.62486,4.34003
27,-1.38115,0.03167,8.07124,-2.4936,-2.96518,4.55061
28,-1.8864,-0.199923,8.20409,-3.00856,-3.18398,4.78168
29,-2.33858,-0.418751,8.34118,-3.43504,-3.32371,5.02475
30,-2.80304,-0.699325,8.46902,-3.8024,-3.41652,5.28367
31,-3.3081,-1.07559,8.57569,-4.14841,-3.50051,5.54632
32,-3.84549,-1.53132,8.66703,-4.50124,-3.6091,5.80963
33,-4.37824,-2.01227,8.75918,-4.87928,-3.673,6.10536
34,-4.87228,-2.45442,8.877,-5.29299,-3.88913,6.33826
35,-5.30881,-2.80922,9.03063,-5.73315,-4.14709,6.54723
36,-5.68017,-3.05504,9.21789,-6.17678,-4.41781,6.73755
37,-5.9989,-3.19817,9.4385,-6.6166,-4.6817,6.92615
38,-6.29133,-3.27081,9.68974,-7.05198,-4.926,7.12438
39,-6.57697,-3.30613,9.95979,-7.47117,-5.12685,7.33624
40,-6.86139,-3.31969,10.2379,-7.85204,-5.25306,7.56828
41,-7.15148,-3.32815,10.5166,-8.20107,-5.30429,7.82866
42,-7.45177,-3.33498,10.7904,-8.53697,-5.29509,8.1149
43,-7.74952,-3.32242,11.0507,-8.878,-5.24452,8.4248
44,-8.03957,-3.28027,11.2911,-9.22264,-5.16256,8.74884
45,-8.33165,-3.20625,11.5044,-9.55753,-5.04632,9.07606
46,-8.63111,-3.09234,11.6872,-9.87265,-4.89906,9.398
47,-8.92873,-2.92851,11.8299,-10.1719,-4.73427,9.7023
48,-9.21852,-2.69179,11.9252,-10.4592,-4.56373,9.97818
49,-9.4884,-2.35279,11.9622,-10.7403,-4.39518,10.2289
50,-9.74157,-1.90105,11.925,-11.0192,-4.22857,10.4423
51,-10.0021,-1.33763,11.7898,-11.2842,-4.0471,10.5941
52,-10.2608,-0.656979,11.533,-11.541,-3.84164,10.6658
53,-10.4585,0.162551,11.1453,-11.794,-3.58235,10.6475
54,-10.5563,1.12098,10.6444,-11.9969,-3.20191,10.5359
55,-10.5576,2.19169,10.0582,-12.1152,-2.67684,10.3449
56,-10.491,3.36428,9.4272,-12.1549,-2.02559,10.096
57,-10.3851,4.63714,8.78829,-12.1659,-1.28801,9.79373
58,-10.2682,6.00288,8.1655,-12.1987,-0.489757,9.43088
59,-10.1336,7.46817,7.56449,-12.2523,0.381862,9.01025
60,-9.96451,9.03039,6.97435,-12.2768,1.36983,8.54198
61,-9.7426,10.6888,6.36186,-12.2071,2.5216,8.04933
62,-9.44184,12.4658,5.692,-11.9887,3.8895,7.54995
63,-9.02916,14.4158,4.95869,-11.612,5.51394,7.06502
64,-8.46635,16.6008,4.14451,-11.0636,7.4481,6.60988
65,-7.71783,19.0701,3.20921,-10.324,9.74332,6.18258
66,-6.74105,21.8663,2.12671,-9.38121,12.4318,5.73313
67,-5.52126,24.986,0.898708,-8.22345,16.1588,5.1768
68,-4.07489,28.3884,-0.433294,-6.84292,19.7283,4.45615
69,-2.43732,32.0088,-1.78381,-5.22953,23.6708,3.5755
70,-0.671064,35.736,-3.005,-3.38308,27.9345,2.58663
71,1.14772,39.423,-3.83523,-1.33457,32.4129,1.58307
72,2.94549,42.8937,-4.02882,0.844259,36.9379,0.742665
73,4.68097,45.9599,-3.48908,3.0746,41.3192,0.315388
74,6.34358,48.4319,-2.2402,5.30146,45.3494,0.465194
75,7.93431,50.1658,-0.494062,7.48593,48.8181,1.19276
76,9.46352,51.1295,1.45329,9.6021,51.5428,2.44986
77,10.9394,51.3812,3.45726,11.6299,53.4094,4.0532
78,12.3661,50.9887,5.41067,13.544,54.4243,5.73262
79,13.7511,50.0248,7.16613,15.3466,54.6775,7.32337
80,15.0885,48.5664,8.62376,17.0421,54.2493,8.70188
81,16.3555,46.7057,9.75015,18.6213,53.1983,9.78488
82,17.5171,44.5204,10.5719,20.0714,51.5956,10.541
83,18.5588,42.095,11.1381,21.3761,49.516,10.9915
84,19.4888,39.5161,11.4802,22.5344,47.0511,11.1852
85,20.3267,36.8592,11.617,23.548,44.2902,11.1486
86,21.0805,34.1981,11.5749,24.4075,41.3092,10.8802
87,21.7474,31.5919,11.3728,25.1108,38.1934,10.335
88,22.3321,29.115,11.0544,25.6673,35.0516,9.59245
89,22.84,26.8391,10.6644,26.0949,31.9968,8.77052
90,23.2915,24.8471,10.2596,26.4081,29.1029,7.90306
91,23.6929,23.194,9.88528,26.6183,26.4237,6.99748
92,24.0367,21.8799,9.54033,26.7303,23.9936,6.09675
93,24.3319,20.8993,9.20259,26.7396,21.8141,5.2556
94,24.5752,20.2311,8.88075,26.6468,19.89,4.51401
95,24.728,19.7985,8.60694,26.4604,18.2409,3.91452
96,24.7554,19.5161,8.41998,26.1824,16.8838,3.48737
97,24.6408,19.3104,8.33819,25.803,15.8047,3.23035
98,24.3689,19.1142,8.36288,25.3114,14.9725,3.13261
99,23.9234,18.879,8.49068,24.6959,14.355,3.17142
100,23.2798,18.5194,8.61972,23.9314,13.8656,3.23953
0,22.5402,10.5798,3.38194,23.6372,8.25181,0.770213
1,21.3474,9.40023,1.99649,22.5011,7.40131,-0.771023
2,20.2806,8.56655,0.99417,21.3088,6.5905,-2.14841
3,19.5984,8.47183,0.732829,20.3004,6.27487,-2.88474
4,19.2641,8.86885,0.960014,19.624,6.51961,-2.94101
5,18.9866,9.24575,1.33116,19.191,7.03151,-2.59284
6,18.4872,9.26663,1.68553,18.7695,7.47323,-2.0956
7,17.6528,8.88043,2.00586,18.172,7.66547,-1.56112
8,16.5423,8.234,2.31586,17.3365,7.58705,-1.01953
9,15.3042,7.52884,2.6361,16.3074,7.30382,-0.480921
10,14.0858,6.91694,2.98363,15.1926,6.91382,0.0471461
11,12.9817,6.44854,3.35683,14.0933,6.49383,0.552274
12,12.0053,6.06332,3.73291,13.0622,6.08629,1.02862
13,11.0968,5.65444,4.09375,12.0892,5.70106,1.47954
14,10.186,5.15755,4.43295,11.1374,5.32493,1.91367
15,9.22493,4.56077,4.742,10.1809,4.94921,2.33758
16,8.19396,3.89406,5.02527,9.19826,4.55872,2.744
17,7.10964,3.21556,5.30208,8.1761,4.14343,3.13108
18,6.01116,2.5717,5.58148,7.11953,3.69903,3.5024
19,4.93307,1.97142,5.85607,6.04066,3.22287,3.85891
20,3.89623,1.40332,6.1161,4.96591,2.72557,4.19629
21,2.90811,0.851606,6.35841,3.92705,2.22061,4.50938
22,1.96955,0.310641,6.58326,2.9486,1.71383,4.79804
23,1.07936,-0.210589,6.79652,2.04615,1.21062,5.06405
24,0.245118,-0.692464,7.00733,1.2247,0.727022,5.31309
25,-0.52697,-1.1248,7.21461,0.483549,0.282245,5.55638
26,-1.23508,-1.51252,7.4148,-0.184021,-0.122549,5.79701
27,-1.88453,-1.8674,7.61176,-0.798431,-0.505993,6.03393
28,-2.48709,-2.2023,7.8137,-1.38373,-0.887642,6.27059
29,-3.05293,-2.5278,8.02235,-1.96128,-1.28296,6.50835
30,-3.57782,-2.82958,8.23939,-2.54097,-1.7052,6.7355
31,-4.0553,-3.08352,8.47255,-3.11693,-2.15197,6.94297
32,-4.49613,-3.28582,8.72663,-3.68274,-2.61103,7.13271
33,-4.91216,-3.4465,8.9903,-4.24019,-3.07183,7.30767
34,-5.30956,-3.57716,9.24828,-4.78507,-3.5154,7.48047
35,-5.695,-3.6832,9.49484,-5.30684,-3.91628,7.66777
36,-6.07441,-3.75979,9.72926,-5.79567,-4.25116,7.87635
37,-6.44963,-3.79855,9.94959,-6.24312,-4.50249,8.10986
38,-6.81278,-3.79318,10.1542,-6.64968,-4.66236,8.36616
39,-7.16164,-3.7445,10.3356,-7.03126,-4.74194,8.63755
40,-7.5013,-3.65187,10.4822,-7.40351,-4.75967,8.91452
41,-7.83487,-3.50789,10.5893,-7.77543,-4.72871,9.18458
42,-8.16498,-3.30354,10.6592,-8.15115,-4.6565,9.43359
43,-8.49517,-3.03546,10.6909,-8.52777,-4.54813,9.64571
44,-8.82441,-2.7013,10.6792,-8.89644,-4.39977,9.80998
45,-9.14992,-2.29517,10.6213,-9.25457,-4.20719,9.92371
46,-9.47046,-1.81451,10.512,-9.60572,-3.97673,9.98266
47,-9.78586,-1.26027,10.338,-9.95317,-3.71651,9.98431
48,-10.0935,-0.624771,10.091,-10.2962,-3.42311,9.93286
49,-10.383,0.103808,9.76299,-10.624,-3.07495,9.82803
50,-10.6373,0.940777,9.347,-10.9262,-2.64122,9.65445
51,-10.8395,1.9024,8.83824,-11.194,-2.08902,9.4047
52,-10.9765,2.99642,8.23733,-11.4024,-1.37966,9.08576
53,-11.034,4.22842,7.55028,-11.5128,-0.479754,8.70528
54,-10.9956,5.60777,6.78247,-11.4937,0.626741,8.27573
55,-10.8498,7.1458,5.92962,-11.3541,1.92222,7.7981
56,-10.5908,8.85806,4.99226,-11.1275,3.38338,7.26758
57,-10.2085,10.766,3.96422,-10.8422,5.00355,6.69297
58,-9.6915,12.8915,2.82551,-10.5052,6.79217,6.0996
59,-9.02664,15.2617,1.5612,-10.108,8.76795,5.49377
60,-8.18841,17.9018,0.175053,-9.62351,10.9539,4.85415
61,-7.14662,20.8221,-1.29952,-9.00137,13.3837,4.136
62,-5.89115,24.0076,-2.80346,-8.19314,16.0955,3.28668
63,-4.44287,27.4164,-4.23477,-7.15888,19.1297,2.28012
64,-2.82716,30.9913,-5.4202,-5.86639,22.5149,1.13335
65,-1.08877,34.6222,-6.14563,-4.31364,26.243,-0.0848556
66,0.707576,38.1451,-6.28803,-2.52241,30.2737,-1.2627
67,2.50516,41.3947,-5.85495,-0.527612,34.5299,-2.26463
68,4.27209,44.2415,-4.93537,1.6273,38.8845,-2.95408
69,5.99102,46.5905,-3.6199,3.89177,43.1595,-3.1875
70,7.64777,48.3745,-1.98008,6.20195,47.1437,-2.85527
71,9.23049,49.5484,-0.10571,8.50099,50.6336,-1.97155
72,10.7326,50.09,1.8724,10.7497,53.4914,-0.685385
73,12.154,50.0121,3.82583,12.9212,55.663,0.835611
74,13.4996,49.3653,5.66966,14.9928,57.1424,2.4629
75,14.7787,48.2168,7.33332,16.9564,57.9538,4.09402
76,15.9958,46.6393,8.75128,18.803,58.1229,5.64461
77,17.1338,44.6891,9.89013,20.5088,57.6519,7.03416
78,18.1856,42.4259,10.7393,22.0596,56.5474,8.19018
79,19.1567,39.9165,11.3021,23.4554,54.8584,9.06562
80,20.0479,37.2232,11.6027,24.6917,52.6607,9.66527
81,20.8547,34.4012,11.664,25.7567,50.0259,10.0254
82,21.5776,31.5129,11.5004,26.6478,47.0244,10.1506
83,22.2213,28.6219,11.1249,27.3718,43.7229,10.0088
84,22.7919,25.784,10.5561,27.9387,40.1924,9.60597
85,23.2937,23.0424,9.84529,28.3506,36.5166,8.98986
86,23.7266,20.4434,9.06987,28.6084,32.78,8.20637
87,24.0954,18.0524,8.30095,28.729,29.0653,7.3014
88,24.4135,15.9362,7.56384,28.7385,25.4627,6.3346
89,24.6915,14.1466,6.86111,28.6578,22.0644,5.37937
90,24.9355,12.7175,6.20144,28.5006,18.9513,4.50272
91,25.1444,11.6633,5.60485,28.2808,16.1887,3.75539
92,25.31,10.9803,5.09848,28.0112,13.8211,3.15236
93,25.421,10.6414,4.70875,27.704,11.8863,2.69001
94,25.4639,10.5968,4.4544,27.3622,10.4161,2.36669
95,25.4211,10.7807,4.33396,26.981,9.42207,2.19463
96,25.2705,11.1204,4.35219,26.5534,8.87628,2.17817
97,24.9797,11.5066,4.52131,26.0591,8.68586,2.25648
98,24.4995,11.7488,4.73128,25.4589,8.66392,2.2468
99,23.7735,11.5753,4.60371,24.7169,8.56489,1.85581
100,22.7703,10.7855,3.70994,23.801,8.15374,0.831527
0,24.8145,11.5106,5.51797,26.6256,12.9763,2.67776
1,24.1079,11.4742,4.81907,25.8433,12.9408,2.13057
2,23.2695,11.1513,3.57865,24.9785,12.6968,1.1132
3,22.4292,10.8522,2.3453,24.0904,12.3973,0.00394318
4,21.78,10.9884,1.6388,23.3109,12.4099,-0.70934
5,21.4314,11.6594,1.5578,22.7777,12.9493,-0.820117
6,21.3067,12.6041,1.88969,22.5103,13.8918,-0.443865
7,21.199,13.445,2.36843,22.3661,14.8963,0.174576
8,20.8938,13.8977,2.83589,22.1269,15.6257,0.851265
9,20.259,13.8465,3.24784,21.6205,15.8959,1.50044
10,19.2816,13.3384,3.61844,20.782,15.6951,2.09544
11,18.0503,12.5226,3.96758,19.6603,15.133,2.63093
12,16.7116,11.592,4.30504,18.3866,14.3873,3.11484
13,15.427,10.7447,4.63926,17.1406,13.6695,3.57003
14,14.3219,10.1224,4.97982,16.0775,13.1529,4.02368
15,13.4379,9.74922,5.33029,15.24,12.8879,4.49305
16,12.7239,9.53839,5.68621,14.5508,12.7935,4.97662
17,12.0736,9.35796,6.0392,13.8844,12.7311,5.45566
18,11.3798,9.09942,6.38077,13.1448,12.5968,5.90882
19,10.5772,8.71669,6.70655,12.2919,12.3508,6.32651
20,9.64449,8.21695,7.01764,11.341,11.999,6.70724
21,8.59061,7.63718,7.31861,10.3415,11.5631,7.05018
22,7.46152,7.02715,7.60631,9.348,11.0643,7.3556
23,6.33019,6.42629,7.86787,8.40157,10.5189,7.62267
24,5.25884,5.84619,8.0899,7.52199,9.93717,7.84997
25,4.27465,5.27832,8.26708,6.71178,9.32892,8.04111
26,3.37296,4.70578,8.40459,5.96143,8.70603,8.20644
27,2.53074,4.1119,8.5145,5.25186,8.0763,8.35834
